Title: Mapping the Diffuse Ultraviolet Sky with GALEX
Authors: Murthy J., Henry R.C., Sujatha N.V.
Table: Diffuse Flux Observed by GALEX
================================================================================
Byte-by-byte Description of file: apj370277t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.2   deg   GLON   Galactic longitude
   8- 13 F6.2   deg   GLAT   Galactic latitude 
  15- 21 F7.2   ---   TFUV   Total FUV band flux (1)
  23- 29 F7.2   ---   TNUV   Total NUV band flux (1)
  31- 37 F7.2   ---   FUV    FUV band flux (1)
  39- 45 F7.2   ---   NUV    NUV band flux (1)
--------------------------------------------------------------------------------
Note (1): In units of ph/cm^2^/s/sr/Angstroms.
--------------------------------------------------------------------------------
167.97  52.42  440.41 1222.38  373.68  466.82 
 93.09  72.02  417.93  945.13  291.78  272.57 
225.79 -55.5   399.94  910.07  321.81  289.61 
240.21 -50.13  655.05 1324.77  428.45  684.67 
 96.19  59.51  535.36 1093.54  386.62  510.24 
 14.94  89.35  583.68 1231.42  279.73  307.21 
236.56 -47.21  524.69 1004.38  315.87  373.42 
163.75  48.86  343.33 1005.78  281.59  348.48 
323.81 -72.88  487.96 1114.19  394.15  479.75 
305.85 -72.93  361.63  998.9   293.95  381.86 
 84.71  44.26  666.89 1040.63  276.31  260.8  
337.48 -59.18  460.57 1110.1   396.01  456.87 
 48.55  87.4   364.37 1022.34  329.98  324.31 
317.73 -73.72  327.95 1015.46  260.76  389.02 
161.74  50.45  303.06  932.44  239.84  281.62 
 85.93  44.85  610.15 1010.08  361.18  374.77 
260.56 -41.74  572.51 1035.9   390.76  475.14 
257.74 -47.45  464.23  923.4   304.06  361.43 
 74.25  68.73  366.75  951.15  242.71  337.07 
138.91  51.7   472.41 1110.1   329.31  459.03 
263.26 -43.5   658.96 1146.02  487.34  604.25 
224.03 -55.46  422.26  967.71  250.89  265.84 
142.93  53.31  417.44 1033.31  329.72  427.32 
154.24  52.73  327.1   962.12  211.04  238.15 
156.34  49.26  315.87  925.98  241.04  293.72 
 99.89  51.67  475.09  936.95  315.34  393.76 
146.54  51.58  373.4   933.73  187.18  180.73 
345.64 -63.96  387.07 1059.56  126.01  240.24 
240.69 -47.32  469.36  990.3   341.82  419.97 
 62.22  46.05  535.   1017.18  359.21  386.14 
292.06 -68.    491.5  1006.21  319.8   300.77 
233.07 -49.4   628.7  1123.22  368.85  413.85 
314.47 -74.08  345.46  969.43  275.4   349.74 
312.92 -73.01  399.02  996.53  299.33  295.59 
318.75 -60.19  398.29  945.77  240.75  236.17 
346.78 -57.8   371.69 1028.37  337.18  352.02 
287.32 -72.3   435.81 1006.86  278.16  275.86 
223.68 -54.44  438.43 1012.67  345.12  355.9  
105.18  59.03  582.58 1082.14  238.    312.15 
171.73  53.76  359.83 1085.15  300.25  322.95 
153.92  58.47   -1.   1055.9    -1.    387.83 
340.69 -58.8   370.47 1042.99  326.16  387.35 
153.75  48.57  322.58  904.69  240.9   282.48 
123.28  59.03  464.11 1202.38  281.01  536.1  
149.87  53.55  595.76 1775.82  501.32 1117.46 
106.82  67.8   468.57 1002.77  363.02  408.37 
170.36  51.76  459.11 1148.82  423.75  415.83 
241.96 -47.94  532.8  1049.23  404.38  480.15 
 67.3   62.94  459.05 1000.19  269.48  372.03 
175.11  57.58  371.69 1137.42  354.05  424.63 
 53.78  68.35  487.9  1083.    420.68  458.   
244.65 -48.2   486.5   927.92  255.13  300.74 
259.2  -40.34  705.07 1178.72  521.69  620.54 
 78.97  75.01  378.65  990.08  271.38  316.47 
147.43  48.66   -1.    948.14   -1.    234.25 
260.5  -48.28  619.67 1076.33  457.04  515.91 
151.75  53.15  375.9  1035.68  281.16  417.67 
147.43  48.66  425.62 1054.18  276.56  335.29 
337.59 -63.82  383.59 1024.93  324.83  357.98 
 90.68  72.68  459.96 1028.8   338.54  352.39 
251.31 -49.06  612.23 1046.87  359.95  397.8  
146.71  53.66  385.97  978.47  285.35  374.61 
 93.63  73.07  388.16  937.6   267.19  261.93 
 84.51  66.24  434.65  900.17  207.22  237.51 
334.19 -59.48  437.09 1074.61  328.11  344.89 
336.77 -57.17  345.58 1052.03  294.32  417.07 
 27.58  80.51  333.57 1004.71  269.13  290.52 
 74.96  66.46  369.8   943.84  239.94  335.2  
163.87  55.59  365.65 1053.96  275.67  321.06 
