Title: The Mystery of the Cosmic Diffuse Ultraviolet Background Radiation 
Authors: Henry R.C., Murthy J., Overduin J., Tyler J.
Table: The Two Dynamics Explorer FUV Scans (Fix, Craven & Frank 1989)
================================================================================
Byte-by-byte Description of file: apj504185t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units              Label  Explanations
--------------------------------------------------------------------------------
       1 I1     ---                Scan   Scan number
   3-  6 I4     ---                Num    Source number
   8- 13 F6.2   deg                GLON   Galactic longitude
  15- 20 F6.2   deg                GLAT   Galactic latitude
  22- 26 I5     ph/cm/s/sr/0.1nm   Flux   Observed photon flux (1)
  28- 31 I4     ph/cm/s/sr/0.1nm e_Flux   Uncertainty in Flu (1)
--------------------------------------------------------------------------------
Note (1): In "Photon Units" which is photons cm^-2^ s^-1^ sr^-1^ Angstrom^-1^.
--------------------------------------------------------------------------------
1  245 305.98 -31.86   889  285 
1  246 306.13 -32.06  1077  308 
1  247 306.28 -32.25  1063  297 
1  248 306.44 -32.44  1551  334 
1  249 306.59 -32.63  2123  385 
1  250 306.75 -32.83  1809  357 
1  251 307.06 -33.20  2264  414 
1  252 307.22 -33.39  1522  346 
1  253 307.69 -33.96  2102  363 
1  254 307.86 -34.16  1518  322 
1  255 308.50 -34.91  1422  312 
1  256 308.67 -35.10  1457  320 
1  257 309.50 -36.04  1071  279 
1  258 309.67 -36.23  1369  320 
1  259 309.84 -36.42  1352  305 
1  260 310.01 -36.60  1557  318 
1  261 310.18 -36.79  1455  310 
1  262 310.35 -36.97  1651  316 
1  263 310.52 -37.16  1256  299 
1  264 310.70 -37.34  1709  344 
1  265 310.88 -37.54  1358  305 
1  266 311.05 -37.72  1262  285 
1  267 311.23 -37.90  1584  449 
1  268 311.40 -38.09  1403  293 
1  269 311.58 -38.27  1061  269 
1  270 311.76 -38.45  1949  336 
1  271 311.94 -38.65  1526  310 
1  272 312.12 -38.83  1596  324 
1  273 312.30 -39.01  1020  262 
1  274 312.85 -39.55  1069  281 
1  275 313.04 -39.74  1375  289 
1  276 313.23 -39.93  1362  293 
1  277 313.42 -40.10  1041  264 
1  278 313.60 -40.29   913  260 
1  279 313.79 -40.47   600  231 
1  280 313.98 -40.65  1506  293 
1  281 314.18 -40.83  1268  273 
1  282 314.37 -41.01   503  214 
1  283 314.56 -41.19   760  241 
1  284 314.75 -41.37  1274  390 
1  285 314.95 -41.55  1004  256 
1  286 315.14 -41.72  1182  269 
1  287 315.35 -41.91   694  239 
1  288 315.55 -42.09   979  253 
1  289 315.75 -42.26  1336  277 
1  290 315.95 -42.44   854  253 
1  291 316.15 -42.62   991  256 
1  292 316.35 -42.79   805  233 
1  293 316.56 -42.97   940  243 
1  294 316.76 -43.15   825  233 
1  295 316.97 -43.32   924  251 
1  296 317.18 -43.50   985  249 
1  297 317.39 -43.67   487  204 
1  298 317.59 -43.84   797  235 
1  299 317.81 -44.02   998  253 
1  300 318.03 -44.20  1059  251 
1  301 318.24 -44.37   915  241 
1  302 318.46 -44.54  1352  273 
1  303 318.67 -44.71   797  227 
1  304 318.89 -44.88   622  212 
1  305 319.11 -45.06  1258  260 
1  306 319.33 -45.23   713  218 
1  307 319.56 -45.40   875  231 
1  308 319.78 -45.57  1301  267 
1  309 320.00 -45.74  1260  295 
1  310 320.22 -45.91   723  222 
1  311 320.46 -46.08   813  233 
1  312 320.69 -46.25  1233  570 
1  313 320.92 -46.42  1129  249 
1  314 321.15 -46.58   862  231 
1  315 321.38 -46.75  1506  543 
1  316 321.61 -46.92   981  243 
1  317 321.86 -47.09   942  235 
1  318 322.10 -47.25   614  206 
1  319 322.33 -47.42   608  206 
1  320 322.57 -47.58   987  256 
1  321 323.80 -48.40   926  243 
1  322 324.05 -48.56   856  220 
1  323 324.30 -48.72   758  214 
1  324 324.55 -48.88   723  220 
1  325 324.82 -49.04   811  220 
1  326 325.07 -49.20   928  249 
1  327 325.33 -49.36   922  237 
1  328 325.58 -49.52   885  224 
